,Continent_Name,Continent_Code_x,Year-Month,Confirmed_Case,Continent_Code_y,Deaths_Case,Continent_Code,Recovered_Case
0,Africa,AF,2020-01-31,0,AF,0,AF,0
1,Africa,AF,2020-02-29,3,AF,0,AF,1
2,Africa,AF,2020-03-31,5779,AF,200,AF,410
3,Africa,AF,2020-04-30,38753,AF,1634,AF,12538
4,Africa,AF,2020-05-31,146551,AF,4222,AF,61767
5,Africa,AF,2020-06-30,404891,AF,10146,AF,192592
6,Africa,AF,2020-07-31,928075,AF,19680,AF,580344
7,Africa,AF,2020-08-31,1252229,AF,29812,AF,983277
8,Africa,AF,2020-09-30,1481928,AF,35863,AF,1227334
9,Africa,AF,2020-10-31,1785473,AF,42853,AF,1455108
10,Africa,AF,2020-12-31,2760450,AF,65468,AF,2297749
11,Africa,AF,2021-01-31,3569598,AF,90970,AF,3051748
12,Africa,AF,2021-02-28,3897277,AF,103706,AF,3469842
13,Africa,AF,2021-03-31,4217303,AF,112757,AF,3796305
14,Africa,AF,2021-04-30,4557664,AF,121783,AF,4071339
15,Africa,AF,2021-05-31,4840295,AF,130634,AF,4336274
16,Africa,AF,2021-06-30,5504513,AF,142935,AF,4771866
17,Africa,AF,2021-07-31,6709040,AF,170067,AF,5825065
18,Africa,AF,2021-08-31,7790394,AF,196278,AF,0
19,Africa,AF,2021-09-30,8286283,AF,210407,AF,0
20,Africa,AF,2021-10-31,8499387,AF,218234,AF,0
21,Africa,AF,2021-11-06,8529456,AF,219350,AF,0
22,Asia,AS,2020-01-31,9889,AS,213,AS,223
23,Asia,AS,2020-02-29,83728,AS,2904,AS,39662
24,Asia,AS,2020-03-31,179254,AS,7148,AS,99919
25,Asia,AS,2020-04-30,521492,AS,18718,AS,266552
26,Asia,AS,2020-05-31,1139560,AS,30845,AS,695440
27,Asia,AS,2020-06-30,2306128,AS,56991,AS,1513232
28,Asia,AS,2020-07-31,4297544,AS,96741,AS,3170565
29,Asia,AS,2020-08-31,7115409,AS,142730,AS,5691349
30,Asia,AS,2020-09-30,10670428,AS,195137,AS,8959748
31,Asia,AS,2020-10-31,13718709,AS,243356,AS,12176552
32,Asia,AS,2020-12-31,20738529,AS,337974,AS,19203065
33,Asia,AS,2021-01-31,23145488,AS,373523,AS,21580867
34,Asia,AS,2021-02-28,25058070,AS,399214,AS,23561313
35,Asia,AS,2021-03-31,28554089,AS,431053,AS,26147007
36,Asia,AS,2021-04-30,39592423,AS,523867,AS,33873719
37,Asia,AS,2021-05-31,51339053,AS,689807,AS,47261376
38,Asia,AS,2021-06-30,55898549,AS,795262,AS,53063374
39,Asia,AS,2021-07-31,62114716,AS,899922,AS,57686448
40,Asia,AS,2021-08-31,70223400,AS,1038408,AS,0
41,Asia,AS,2021-09-30,75943978,AS,1127334,AS,0
42,Asia,AS,2021-10-31,79491071,AS,1176502,AS,0
43,Asia,AS,2021-11-06,80086421,AS,1185457,AS,0
44,Australia,OC,2020-01-31,9,OC,0,OC,2
45,Australia,OC,2020-02-29,26,OC,0,OC,11
46,Australia,OC,2020-03-31,5212,OC,19,OC,432
47,Australia,OC,2020-04-30,8271,OC,112,OC,7006
