,Country/Region,Continent_Code,Continent_Name,Year-Month,Confirmed_Case,Deaths_Case,Recovered_Case
0,Afghanistan,AS,Asia,2020-01-31,0,0,0
1,Afghanistan,AS,Asia,2020-02-29,5,0,0
2,Afghanistan,AS,Asia,2020-03-31,166,4,5
3,Afghanistan,AS,Asia,2020-04-30,1827,60,260
4,Afghanistan,AS,Asia,2020-05-31,15180,254,1328
5,Afghanistan,AS,Asia,2020-06-30,31445,739,14131
6,Afghanistan,AS,Asia,2020-07-31,36628,1275,25509
7,Afghanistan,AS,Asia,2020-08-31,38248,1406,29089
8,Afghanistan,AS,Asia,2020-09-30,39354,1462,32789
9,Afghanistan,AS,Asia,2020-10-31,41334,1533,34321
10,Afghanistan,AS,Asia,2020-12-31,52330,2189,41727
11,Afghanistan,AS,Asia,2021-01-31,55023,2400,47679
12,Afghanistan,AS,Asia,2021-02-28,55714,2443,49333
13,Afghanistan,AS,Asia,2021-03-31,56454,2484,51550
14,Afghanistan,AS,Asia,2021-04-30,59745,2625,53206
15,Afghanistan,AS,Asia,2021-05-31,71838,2944,57629
16,Afghanistan,AS,Asia,2021-06-30,118659,4871,71012
17,Afghanistan,AS,Asia,2021-07-31,147154,6708,82586
18,Afghanistan,AS,Asia,2021-08-31,153220,7118,0
19,Afghanistan,AS,Asia,2021-09-30,155174,7204,0
20,Afghanistan,AS,Asia,2021-10-31,156250,7280,0
21,Afghanistan,AS,Asia,2021-11-06,156397,7284,0
22,Albania,EU,Europe,2020-01-31,0,0,0
23,Albania,EU,Europe,2020-02-29,0,0,0
24,Albania,EU,Europe,2020-03-31,243,15,52
25,Albania,EU,Europe,2020-04-30,773,31,470
26,Albania,EU,Europe,2020-05-31,1137,33,872
27,Albania,EU,Europe,2020-06-30,2535,62,1459
28,Albania,EU,Europe,2020-07-31,5276,157,2952
29,Albania,EU,Europe,2020-08-31,9513,284,5214
30,Albania,EU,Europe,2020-09-30,13649,387,7847
31,Albania,EU,Europe,2020-10-31,20875,509,11189
32,Albania,EU,Europe,2020-12-31,58316,1181,33634
33,Albania,EU,Europe,2021-01-31,78127,1380,47424
34,Albania,EU,Europe,2021-02-28,107167,1796,69773
35,Albania,EU,Europe,2021-03-31,125157,2235,91271
36,Albania,EU,Europe,2021-04-30,131085,2394,109338
37,Albania,EU,Europe,2021-05-31,132315,2451,129431
38,Albania,EU,Europe,2021-06-30,132521,2456,130009
39,Albania,EU,Europe,2021-07-31,133081,2457,130222
40,Albania,EU,Europe,2021-08-31,146387,2498,0
41,Albania,EU,Europe,2021-09-30,170131,2698,0
42,Albania,EU,Europe,2021-10-31,185300,2924,0
43,Albania,EU,Europe,2021-11-06,187994,2948,0
44,Algeria,AF,Africa,2020-01-31,0,0,0
45,Algeria,AF,Africa,2020-02-29,1,0,0
46,Algeria,AF,Africa,2020-03-31,716,44,46
47,Algeria,AF,Africa,2020-04-30,4006,450,1779
48,Algeria,AF,Africa,2020-05-31,9394,653,5748
49,Algeria,AF,Africa,2020-06-30,13907,912,9897
50,Algeria,AF,Africa,2020-07-31,30394,1210,20537
51,Algeria,AF,Africa,2020-08-31,44494,1510,31244
52,Algeria,AF,Africa,2020-09-30,51530,1736,36174
53,Algeria,AF,Africa,2020-10-31,57942,1964,40201
54,Algeria,AF,Africa,2020-12-31,99610,2756,67127
55,Algeria,AF,Africa,2021-01-31,107339,2891,73344
56,Algeria,AF,Africa,2021-02-28,113092,2983,78098
57,Algeria,AF,Africa,2021-03-31,117192,3093,81538
