,Country/Region,Continent_Code,Continent_Name,Year-Month,Confirmed_Case,Deaths_Case,Recovered_Case,Confirmed_Perc_Change,Deaths_Perc_Change,Recovered_Perc_Change
0,Afghanistan,AS,Asia,2020-01-31,0,0,0,,,
1,Afghanistan,AS,Asia,2020-02-29,5,0,0,inf,,
2,Afghanistan,AS,Asia,2020-03-31,166,4,5,32.2,inf,inf
3,Afghanistan,AS,Asia,2020-04-30,1827,60,260,10.01,14.0,51.0
4,Afghanistan,AS,Asia,2020-05-31,15180,254,1328,7.31,3.23,4.11
5,Afghanistan,AS,Asia,2020-06-30,31445,739,14131,1.07,1.91,9.64
6,Afghanistan,AS,Asia,2020-07-31,36628,1275,25509,0.16,0.73,0.81
7,Afghanistan,AS,Asia,2020-08-31,38248,1406,29089,0.04,0.1,0.14
8,Afghanistan,AS,Asia,2020-09-30,39354,1462,32789,0.03,0.04,0.13
9,Afghanistan,AS,Asia,2020-10-31,41334,1533,34321,0.05,0.05,0.05
10,Afghanistan,AS,Asia,2020-12-31,52330,2189,41727,0.27,0.43,0.22
11,Afghanistan,AS,Asia,2021-01-31,55023,2400,47679,0.05,0.1,0.14
12,Afghanistan,AS,Asia,2021-02-28,55714,2443,49333,0.01,0.02,0.03
13,Afghanistan,AS,Asia,2021-03-31,56454,2484,51550,0.01,0.02,0.04
14,Afghanistan,AS,Asia,2021-04-30,59745,2625,53206,0.06,0.06,0.03
15,Afghanistan,AS,Asia,2021-05-31,71838,2944,57629,0.2,0.12,0.08
16,Afghanistan,AS,Asia,2021-06-30,118659,4871,71012,0.65,0.65,0.23
17,Afghanistan,AS,Asia,2021-07-31,147154,6708,82586,0.24,0.38,0.16
18,Afghanistan,AS,Asia,2021-08-31,153220,7118,0,0.04,0.06,-1.0
19,Afghanistan,AS,Asia,2021-09-30,155174,7204,0,0.01,0.01,
20,Afghanistan,AS,Asia,2021-10-31,156250,7280,0,0.01,0.01,
21,Afghanistan,AS,Asia,2021-11-06,156397,7284,0,0.0,0.0,
22,Albania,EU,Europe,2020-01-31,0,0,0,,,
23,Albania,EU,Europe,2020-02-29,0,0,0,,,
24,Albania,EU,Europe,2020-03-31,243,15,52,inf,inf,inf
25,Albania,EU,Europe,2020-04-30,773,31,470,2.18,1.07,8.04
26,Albania,EU,Europe,2020-05-31,1137,33,872,0.47,0.06,0.86
27,Albania,EU,Europe,2020-06-30,2535,62,1459,1.23,0.88,0.67
28,Albania,EU,Europe,2020-07-31,5276,157,2952,1.08,1.53,1.02
29,Albania,EU,Europe,2020-08-31,9513,284,5214,0.8,0.81,0.77
30,Albania,EU,Europe,2020-09-30,13649,387,7847,0.43,0.36,0.5
31,Albania,EU,Europe,2020-10-31,20875,509,11189,0.53,0.32,0.43
32,Albania,EU,Europe,2020-12-31,58316,1181,33634,1.79,1.32,2.01
33,Albania,EU,Europe,2021-01-31,78127,1380,47424,0.34,0.17,0.41
34,Albania,EU,Europe,2021-02-28,107167,1796,69773,0.37,0.3,0.47
35,Albania,EU,Europe,2021-03-31,125157,2235,91271,0.17,0.24,0.31
36,Albania,EU,Europe,2021-04-30,131085,2394,109338,0.05,0.07,0.2
37,Albania,EU,Europe,2021-05-31,132315,2451,129431,0.01,0.02,0.18
38,Albania,EU,Europe,2021-06-30,132521,2456,130009,0.0,0.0,0.0
39,Albania,EU,Europe,2021-07-31,133081,2457,130222,0.0,0.0,0.0
40,Albania,EU,Europe,2021-08-31,146387,2498,0,0.1,0.02,-1.0
41,Albania,EU,Europe,2021-09-30,170131,2698,0,0.16,0.08,
42,Albania,EU,Europe,2021-10-31,185300,2924,0,0.09,0.08,
43,Albania,EU,Europe,2021-11-06,187994,2948,0,0.01,0.01,
44,Algeria,AF,Africa,2020-01-31,0,0,0,,,
